GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English,E_Advance,E_PreS,NE_Tem,NE_Ozone,NE_PM25,N_HFood,N_TreeD,N_LandUseMix,T_WalkVSDrive,T_Transit,T_NodeD,MH,PH
36005000200,13.5,93.3,23.0,15.4,29.4,29.9,94.64310344827588,42.5217954248366,8.93913589041096,0.0017971233286454,4.504006166379733,0.1602742310306042,6.238411779801897e-05,0.0025230232138199,1292.5217391304348,86.1,86.6
36005000400,6.2,94.9,7.7,10.8,28.4,53.1,92.13551020408164,42.5871267973856,8.90275342465753,0.0090365099664053,4.743882130476179,0.392960802688383,5.442386596248032e-05,0.0020781205589491,1353.7435897435898,87.6,89.2
36005001600,4.8,93.6,25.3,17.3,18.5,76.6,96.69360594795543,42.5873267973856,8.94925260273973,0.0,4.421631948379935,0.4428283537532995,5.838688959923938e-05,0.0054403685982633,2556.0,84.0,83.2
36005001900,10.7,85.2,30.4,11.1,24.6,25.3,96.79632258064515,42.0512725490196,9.157725479452052,0.0,1.428474973820026,0.4616236928816883,0.0001714495381402,0.0212529658236155,836.8279569892474,83.4,86.1
36005002000,18.9,91.0,42.4,13.3,8.4,87.5,93.79953229398669,42.50983398692809,8.98348684931507,0.0,5.062188997063066,0.2749139827639354,4.8932374374021785e-05,0.0034233064813754,2355.9444444444443,79.5,78.6
36005002300,14.9,94.7,35.9,26.0,9.3,11.1,93.72846153846164,42.0801411764706,9.19913452054795,0.0,2.590221845283712,0.4182403973372846,9.662464367638764e-05,0.0156294344212446,1472.3,79.4,77.6
36005002500,8.8,83.9,36.8,25.2,7.2,53.8,95.40659574468091,42.0679986928105,9.17527232876712,0.0,6.730102753237582,0.2846868177021238,7.282017764293125e-05,0.0117237297395738,1161.375,81.2,81.4
36005002701,11.9,91.0,45.1,23.1,11.7,100.0,95.2915217391305,42.063380392156894,9.16254876712329,0.0,7.360985013232824,0.350337730455833,0.0001487112844638,0.0179248313523931,896.2,78.8,78.3
36005002702,9.7,92.8,47.3,21.9,7.4,55.4,99.33011834319532,42.0846823529412,9.15950767123288,0.0,4.803081471285595,0.567024591949387,9.411000425943812e-05,0.0135567970204841,841.1666666666666,78.8,79.2
36005002800,2.4,97.2,5.4,5.9,28.2,79.7,95.2514049586777,42.4492189542484,9.03273835616438,0.0,2.5998456761953395,0.19233993758877,7.000523813348567e-05,0.0082017212343026,2309.4814814814813,87.4,88.5
36005003100,3.4,93.1,15.9,28.8,16.1,100.0,97.95965517241382,42.132724183006495,9.12156849315068,0.0,3.1373266080415987,0.702999443250741,0.0002452068047648,0.0403028405533101,994.7272727272727,83.8,85.8
