,GeoID,E_Advance,E_PreS
0,36005000200,29.4,29.9
1,36005000400,28.4,53.1
2,36005001600,18.5,76.6
3,36005001900,24.6,25.3
4,36005002000,8.4,87.5
5,36005002300,9.3,11.1
6,36005002500,7.2,53.8
7,36005002701,11.7,100.0
8,36005002702,7.4,55.4
9,36005002800,28.2,79.7
10,36005003100,16.1,100.0
11,36005003300,8.8,60.7
12,36005003500,14.6,63.2
13,36005003800,6.3,100.0
14,36005003900,10.8,46.6
15,36005004001,16.1,29.0
16,36005004100,7.6,87.2
17,36005004200,14.1,43.8
18,36005004300,9.9,57.4
19,36005004400,10.6,67.9
20,36005004600,17.7,62.5
21,36005004800,11.7,55.6
22,36005005001,13.1,26.7
23,36005005002,15.4,44.4
24,36005005100,7.3,38.9
25,36005005200,10.3,65.3
26,36005005300,10.3,77.4
27,36005005400,3.5,37.9
28,36005005600,16.6,43.2
29,36005005902,22.4,100.0
30,36005006000,16.3,9.4
31,36005006100,32.0,43.3
32,36005006200,11.6,100.0
33,36005006300,24.8,50.6
34,36005006400,13.0,47.5
35,36005006500,15.6,44.1
36,36005006700,9.7,100.0
37,36005006800,22.4,100.0
38,36005006900,17.2,73.2
39,36005007000,14.5,74.3
40,36005007100,20.9,70.7
41,36005007200,18.1,77.1
42,36005007300,6.9,46.2
43,36005007400,14.6,64.2
44,36005007500,16.3,83.4
45,36005007600,18.0,61.9
46,36005007700,14.0,45.7
47,36005007800,16.8,70.0
48,36005007900,8.8,52.9
49,36005008300,16.2,49.0
50,36005008400,18.5,42.7
51,36005008500,16.4,26.1
52,36005008600,8.5,78.7
53,36005008700,10.8,35.6
54,36005008900,16.5,18.8
55,36005009000,10.5,82.4
56,36005009200,19.5,64.4
57,36005009300,13.0,44.4
58,36005009600,22.5,79.5
59,36005009800,27.1,100.0
60,36005011502,10.9,67.4
61,36005011700,20.1,0.0
62,36005011800,28.3,27.4
63,36005011900,9.1,73.3
64,36005012101,15.5,58.3
65,36005012102,6.6,77.8
66,36005012300,16.4,67.1
67,36005012500,20.6,66.4
68,36005012701,19.0,0.0
69,36005012901,11.6,2.7
70,36005013000,32.8,51.3
71,36005013100,16.7,87.1
72,36005013200,34.4,100.0
73,36005013300,8.7,31.8
74,36005013500,9.3,41.1
75,36005013800,22.8,48.5
76,36005014100,17.8,66.4
77,36005014300,18.2,10.0
78,36005014400,15.7,73.2
79,36005014500,7.4,62.3
80,36005014701,11.1,86.2
81,36005014702,10.5,13.3
82,36005014900,14.5,22.8
83,36005015100,17.7,65.0
84,36005015200,22.2,77.8
85,36005015300,17.6,56.0
86,36005015500,11.2,80.2
87,36005015700,16.9,51.3
88,36005015800,20.5,0.0
89,36005015900,6.4,81.1
90,36005016000,27.8,60.3
91,36005016100,10.5,69.1
92,36005016200,19.3,37.5
93,36005016400,28.2,57.1
94,36005016500,13.8,58.3
95,36005016600,20.2,87.8
96,36005016700,14.8,78.6
97,36005016900,12.5,35.3
98,36005017300,14.1,100.0
99,36005017500,8.8,59.8
100,36005017701,8.8,56.1
101,36005017702,15.1,52.0
102,36005017901,11.5,100.0
103,36005017902,19.3,66.2
104,36005018101,5.9,60.8
105,36005018102,18.8,53.3
106,36005018301,27.4,70.3
107,36005018302,16.0,23.5
108,36005018400,31.3,87.0
109,36005018500,12.2,57.2
110,36005018900,13.8,25.0
111,36005019300,15.5,75.7
112,36005019400,28.4,63.3
