,GeoID,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,KIDNEY,OBESITY,STROKE,TEETHLOST,TotalPopulation
0,36005000100,11.4,28.6,2.1,11.1,3.8,5.5,15.1,9.4,22.1,2.3,34.5,2.7,29.4,11091.0
1,36005000200,18.0,30.3,4.9,10.4,5.2,5.2,15.2,13.6,30.1,3.3,31.8,3.1,15.5,4334.0
2,36005000400,15.6,26.8,4.5,9.8,3.9,3.9,14.5,11.0,28.0,2.7,30.2,2.4,10.6,5503.0
3,36005001600,22.2,35.8,5.7,11.8,7.0,7.3,16.4,16.8,32.2,4.3,35.0,4.3,19.3,5643.0
4,36005001900,15.2,28.1,3.5,10.8,4.7,5.4,16.6,11.6,26.1,2.9,33.9,2.8,18.6,1917.0
5,36005002000,23.3,38.0,4.9,13.7,7.8,9.8,18.6,19.1,32.0,4.8,38.9,5.3,29.0,8731.0
6,36005002300,24.3,38.9,5.2,13.7,8.8,10.2,18.8,20.5,33.2,5.3,39.1,5.6,33.0,4933.0
7,36005002500,18.8,31.9,4.1,12.0,6.4,7.4,17.8,16.1,30.0,4.0,36.2,3.9,26.3,5491.0
8,36005002701,22.1,36.4,4.4,13.7,7.4,9.3,19.0,18.5,30.7,4.9,40.0,4.9,30.8,3113.0
9,36005002702,19.3,32.8,3.8,13.0,6.6,8.3,19.0,16.9,29.2,4.3,38.7,4.1,30.9,4475.0
10,36005002800,22.1,37.4,6.2,11.8,5.0,5.3,14.1,13.6,30.6,3.4,32.6,4.0,14.6,5586.0
11,36005003100,16.1,28.9,3.9,11.4,4.6,5.3,16.3,12.4,27.0,3.1,33.9,2.9,15.6,1597.0
12,36005003300,21.0,34.9,4.1,13.6,7.2,9.0,19.3,18.2,30.6,4.6,39.2,4.6,30.6,3413.0
13,36005003500,19.0,32.2,4.1,12.3,6.2,7.3,17.8,15.9,29.5,4.0,36.6,3.9,24.1,3761.0
14,36005003800,19.5,32.7,4.6,12.1,5.6,6.5,17.0,14.9,29.6,3.6,34.8,3.8,18.5,1264.0
15,36005003900,18.6,31.9,4.2,11.5,6.7,7.3,17.4,16.1,29.8,4.1,36.3,3.9,27.5,6475.0
16,36005004001,20.9,33.5,6.0,10.2,6.5,6.5,14.8,14.9,33.7,3.5,28.0,3.8,18.1,1420.0
17,36005004100,21.4,35.5,4.6,12.9,7.7,8.7,18.4,18.5,31.5,4.8,38.4,4.7,32.3,6127.0
18,36005004200,22.1,35.8,5.6,12.2,6.2,6.9,16.4,16.1,31.5,4.0,35.0,4.3,23.0,7143.0
19,36005004300,20.7,34.6,4.3,12.7,7.2,8.5,18.4,18.1,31.1,4.5,38.5,4.4,27.5,5056.0
20,36005004400,26.0,40.6,5.6,13.9,9.2,10.8,18.6,21.1,33.9,5.6,39.2,6.1,33.1,4797.0
21,36005004600,24.7,40.0,5.5,13.1,8.5,9.6,17.5,20.0,33.4,5.2,38.8,5.6,23.0,1555.0
22,36005004800,17.1,29.5,4.1,11.3,5.5,6.2,17.0,13.9,28.3,3.5,34.0,3.4,25.2,3883.0
23,36005005001,19.4,33.0,4.1,12.5,6.2,7.6,17.9,16.0,29.2,4.0,37.3,4.1,29.7,4767.0
24,36005005002,17.3,30.4,3.7,11.7,5.9,6.9,17.6,14.8,28.4,3.7,36.0,3.6,28.0,5823.0
25,36005005100,23.2,37.3,4.9,14.0,7.7,9.7,19.1,19.0,31.4,5.0,39.1,5.3,33.3,5810.0
26,36005005200,19.8,33.0,4.6,12.1,5.9,6.8,17.2,15.6,30.3,3.8,35.9,3.8,21.0,2031.0
27,36005005300,23.2,39.4,4.1,15.6,7.4,10.8,20.0,18.8,29.6,4.8,42.2,5.7,36.7,4669.0
28,36005005400,18.4,32.1,4.1,12.3,6.2,7.5,17.8,15.0,28.9,3.8,35.6,4.0,28.3,5853.0
29,36005005600,20.4,34.0,5.1,11.6,6.9,7.3,16.6,16.4,31.5,4.1,34.0,4.2,23.9,2711.0
30,36005005902,23.2,37.7,5.3,12.0,7.5,8.2,16.7,18.3,32.9,4.6,37.4,4.9,22.8,2582.0
31,36005006000,18.4,31.3,4.2,11.1,6.2,6.5,16.9,15.8,30.8,3.8,35.6,3.5,18.2,1129.0
32,36005006100,28.9,46.4,8.7,12.1,7.6,7.3,13.4,17.7,35.5,4.8,33.1,6.0,15.4,3713.0
33,36005006200,22.8,37.3,4.9,13.6,8.0,9.6,18.5,19.0,32.1,4.8,38.0,5.3,30.3,6585.0
34,36005006300,18.6,31.4,4.5,11.2,5.6,6.2,16.2,14.3,29.8,3.5,33.0,3.6,19.5,5280.0
35,36005006400,20.9,35.0,5.2,11.8,6.5,7.3,16.3,15.8,31.4,3.8,33.9,4.3,23.2,3967.0
36,36005006500,19.5,33.5,4.2,12.3,6.4,7.7,17.5,15.8,29.3,4.0,37.0,4.1,26.8,5337.0
37,36005006700,19.6,32.7,4.3,12.7,6.4,7.7,18.2,16.2,30.0,4.1,36.4,4.1,29.8,6984.0
38,36005006800,18.7,31.9,4.7,11.2,5.5,6.0,15.7,13.8,29.6,3.4,32.4,3.6,19.2,2897.0
39,36005006900,18.3,31.3,4.2,12.2,5.4,6.3,17.2,14.2,28.1,3.6,35.2,3.6,21.5,7564.0
40,36005007000,17.9,31.1,4.3,11.2,5.6,6.4,16.3,14.1,29.6,3.3,32.7,3.5,20.8,4584.0
41,36005007100,18.5,31.1,4.7,11.1,5.1,5.4,15.7,13.9,29.5,3.4,33.3,3.3,14.9,1907.0
42,36005007200,18.1,30.7,4.3,10.3,5.7,6.4,15.3,14.4,30.6,3.4,29.4,3.4,20.4,5432.0
43,36005007300,21.4,35.8,4.3,13.1,8.0,9.4,18.9,19.0,31.1,4.9,39.9,5.0,34.8,3893.0
44,36005007400,22.7,36.9,5.7,11.7,6.8,7.2,15.9,16.9,32.5,4.2,35.0,4.6,19.5,3710.0
45,36005007500,20.4,33.7,4.8,12.0,6.4,7.0,17.0,16.2,30.5,4.1,36.1,4.1,23.4,4869.0
46,36005007600,18.5,31.2,4.4,11.3,5.9,6.6,16.6,14.5,29.6,3.6,33.3,3.7,26.0,5190.0
47,36005007700,18.4,32.0,3.9,12.0,6.0,7.2,17.6,15.5,29.5,3.8,37.1,3.7,22.5,1927.0
48,36005007800,18.3,30.5,4.4,11.1,5.7,6.5,16.8,14.2,29.9,3.4,32.7,3.4,20.9,6418.0
49,36005007900,21.2,35.5,4.5,12.7,7.6,8.6,18.1,18.3,31.2,4.6,38.5,4.6,28.2,6733.0
50,36005008300,18.0,30.6,3.9,11.8,5.9,6.8,17.8,15.6,29.4,3.8,36.3,3.5,23.4,6155.0
51,36005008400,16.5,28.2,4.8,10.2,4.2,4.2,14.5,11.4,28.3,2.8,29.3,2.8,11.2,2374.0
52,36005008500,18.1,30.6,4.2,11.5,5.7,6.3,17.1,14.9,29.1,3.7,35.3,3.4,21.6,5457.0
53,36005008600,23.2,37.0,5.3,13.1,7.7,9.0,18.0,18.7,32.7,4.7,37.0,4.9,24.5,4176.0
54,36005008700,20.3,33.6,4.6,12.1,7.1,7.8,17.7,17.3,30.7,4.4,37.1,4.3,26.2,5466.0
55,36005008900,20.6,33.7,4.9,11.2,7.4,7.2,16.8,17.9,32.0,4.5,36.0,4.1,24.8,3177.0
56,36005009000,21.8,35.6,4.7,12.9,7.0,8.4,18.0,17.6,31.4,4.4,37.2,4.5,23.0,3667.0
57,36005009200,17.4,29.3,4.4,10.4,5.3,5.8,15.7,13.1,29.7,3.1,30.2,3.1,16.6,5017.0
58,36005009300,16.5,30.5,3.4,11.9,5.5,6.7,17.3,13.9,27.1,3.5,36.5,3.4,26.7,6356.0
59,36005009600,21.2,33.5,6.0,10.8,7.2,7.3,15.8,15.0,32.2,4.0,30.2,4.3,21.6,2594.0
60,36005009800,18.1,30.0,5.1,10.2,4.8,4.9,14.8,12.6,30.3,3.1,30.4,3.0,11.4,5038.0
61,36005011502,18.4,32.1,3.9,12.2,6.2,7.2,17.8,15.6,28.6,4.0,37.7,3.8,23.0,4340.0
62,36005011700,20.4,34.2,4.4,12.7,6.5,7.7,17.7,16.6,29.8,4.2,37.7,4.4,30.7,1585.0
63,36005011800,17.6,23.9,5.9,9.8,4.5,5.3,18.2,7.1,27.8,2.2,22.6,2.3,11.7,5089.0
64,36005011900,20.1,33.6,4.4,12.5,6.7,7.8,18.1,16.8,30.6,4.2,36.9,4.1,25.7,5698.0
65,36005012101,16.9,29.9,3.9,11.5,5.0,5.8,16.5,13.3,27.7,3.2,34.4,3.2,22.4,3090.0
