,GeoID,GHLTH,MHLTH,PHLTH,TotalPopulation
0,36005000100,30.3,19.3,14.0,11091.0
1,36005000200,25.4,13.9,13.4,4334.0
2,36005000400,19.6,12.4,10.8,5503.0
3,36005001600,31.1,16.0,16.8,5643.0
4,36005001900,26.2,16.6,13.9,1917.0
5,36005002000,40.5,20.5,21.4,8731.0
6,36005002300,42.2,20.6,22.4,4933.0
7,36005002500,36.9,18.8,18.6,5491.0
8,36005002701,40.5,21.2,21.7,3113.0
9,36005002702,40.2,21.2,20.8,4475.0
10,36005002800,19.6,12.6,11.5,5586.0
11,36005003100,27.6,16.2,14.2,1597.0
12,36005003300,41.5,21.5,21.8,3413.0
13,36005003500,36.0,18.8,18.4,3761.0
14,36005003800,29.2,17.2,15.7,1264.0
15,36005003900,36.2,18.4,18.4,6475.0
16,36005004001,26.8,13.7,14.3,1420.0
17,36005004100,39.6,19.9,20.9,6127.0
18,36005004200,28.9,15.8,15.7,7143.0
19,36005004300,39.9,20.0,20.7,5056.0
20,36005004400,41.6,20.3,22.9,4797.0
21,36005004600,38.2,18.6,20.6,1555.0
22,36005004800,31.4,17.3,15.9,3883.0
23,36005005001,35.5,19.2,18.5,4767.0
24,36005005002,35.7,18.8,18.0,5823.0
25,36005005100,40.8,21.1,21.8,5810.0
26,36005005200,32.1,17.4,16.9,2031.0
27,36005005300,41.9,23.7,22.9,4669.0
28,36005005400,35.4,19.3,18.0,5853.0
29,36005005600,32.6,16.9,17.0,2711.0
30,36005005902,33.1,16.8,18.3,2582.0
31,36005006000,33.1,16.8,17.1,1129.0
32,36005006100,23.6,12.0,13.8,3713.0
33,36005006200,40.4,20.2,21.1,6585.0
34,36005006300,28.4,15.8,15.1,5280.0
35,36005006400,31.0,16.4,16.4,3967.0
36,36005006500,35.1,19.0,18.4,5337.0
37,36005006700,36.9,19.2,18.8,6984.0
38,36005006800,26.8,15.3,14.3,2897.0
39,36005006900,30.5,17.6,15.9,7564.0
40,36005007000,29.4,16.5,15.4,4584.0
41,36005007100,25.7,14.7,13.8,1907.0
42,36005007200,28.6,15.9,15.3,5432.0
43,36005007300,42.7,21.3,22.3,3893.0
44,36005007400,29.2,15.3,16.1,3710.0
45,36005007500,32.3,17.1,17.1,4869.0
46,36005007600,30.5,16.9,16.1,5190.0
47,36005007700,35.4,18.5,18.1,1927.0
48,36005007800,29.9,16.7,15.9,6418.0
49,36005007900,39.7,19.8,20.6,6733.0
50,36005008300,35.6,18.5,18.1,6155.0
51,36005008400,20.3,12.8,11.0,2374.0
52,36005008500,31.8,17.2,16.5,5457.0
53,36005008600,38.0,19.0,20.1,4176.0
54,36005008700,37.3,18.8,19.4,5466.0
55,36005008900,35.7,17.1,18.6,3177.0
56,36005009000,36.4,19.1,19.4,3667.0
57,36005009200,26.7,15.4,14.3,5017.0
58,36005009300,34.3,19.1,17.3,6356.0
59,36005009600,28.9,15.1,15.7,2594.0
60,36005009800,22.3,12.9,12.2,5038.0
61,36005011502,35.9,19.4,18.6,4340.0
62,36005011700,35.2,18.8,18.7,1585.0
63,36005011800,14.1,14.2,9.9,5089.0
64,36005011900,37.3,19.1,19.2,5698.0
65,36005012101,29.2,16.7,14.9,3090.0
66,36005012102,39.3,20.7,20.4,1631.0
67,36005012300,29.4,16.6,14.9,4152.0
68,36005012500,30.8,17.7,16.0,3905.0
69,36005012701,31.2,16.3,16.6,2253.0
70,36005012901,37.1,19.5,19.4,4015.0
