,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
0,36005000200,13.5,93.3,23.0,15.4
1,36005000400,6.2,94.9,7.7,10.8
2,36005001600,4.8,93.6,25.3,17.3
3,36005001900,10.7,85.2,30.4,11.1
4,36005002000,18.9,91.0,42.4,13.3
5,36005002300,14.9,94.7,35.9,26.0
6,36005002400,0.0,75.5,0.0,0.0
7,36005002500,8.8,83.9,36.8,25.2
8,36005002701,11.9,91.0,45.1,23.1
9,36005002702,9.7,92.8,47.3,21.9
10,36005002800,2.4,97.2,5.4,5.9
11,36005003100,3.4,93.1,15.9,28.8
12,36005003300,15.6,93.7,43.9,23.2
13,36005003500,12.8,94.7,33.2,28.5
14,36005003700,9.7,90.8,42.2,13.2
15,36005003800,16.7,94.0,23.6,22.7
16,36005003900,7.3,76.2,29.4,20.0
17,36005004001,5.4,94.2,14.1,23.1
18,36005004100,21.5,90.0,39.6,30.2
19,36005004200,2.8,98.5,22.5,11.1
20,36005004300,17.8,86.9,40.3,27.3
21,36005004400,17.2,97.2,48.0,20.8
22,36005004600,11.9,91.8,37.9,17.2
23,36005004800,17.7,83.9,22.1,16.5
24,36005005001,15.8,86.2,37.0,15.7
25,36005005002,12.3,81.3,33.8,23.0
26,36005005100,11.5,95.7,47.1,26.1
27,36005005200,2.0,97.2,33.1,25.0
28,36005005300,26.9,93.5,54.3,11.3
29,36005005400,8.1,82.1,26.0,26.4
30,36005005600,11.3,91.1,29.7,29.1
31,36005005902,3.7,92.2,27.3,17.2
32,36005006000,11.0,97.3,26.6,19.9
33,36005006100,9.9,95.8,11.5,9.3
34,36005006200,17.9,90.3,43.0,23.1
35,36005006300,6.3,87.2,24.7,26.2
36,36005006400,7.8,90.3,22.3,19.1
37,36005006500,10.1,83.6,31.7,11.6
38,36005006700,9.8,90.4,36.2,30.6
39,36005006800,8.3,87.0,15.2,10.8
40,36005006900,5.6,94.3,32.5,21.8
41,36005007000,4.1,92.7,16.4,20.7
42,36005007100,5.6,90.6,20.5,20.9
43,36005007200,9.7,90.5,20.3,29.5
44,36005007300,19.4,88.7,42.1,24.8
45,36005007400,3.9,95.5,22.4,16.1
46,36005007500,10.0,88.0,25.8,16.8
47,36005007600,10.9,81.6,25.6,24.0
48,36005007700,11.8,87.4,27.2,33.8
49,36005007800,4.1,91.0,19.7,27.0
50,36005007900,15.2,93.2,42.0,28.6
51,36005008300,15.4,89.7,29.3,28.7
52,36005008400,4.7,94.8,8.1,16.7
53,36005008500,14.9,92.3,32.6,18.8
54,36005008600,6.2,96.1,44.8,15.9
55,36005008700,13.6,88.5,41.2,30.1
56,36005008900,6.5,95.0,23.6,34.8
57,36005009000,7.0,93.4,30.1,14.4
58,36005009200,10.8,94.6,20.8,19.4
59,36005009300,10.3,88.0,35.4,16.8
60,36005009600,15.5,93.8,18.0,26.6
61,36005009800,7.7,96.9,9.8,18.8
62,36005011502,12.9,92.8,47.8,27.9
63,36005011700,12.7,91.3,43.8,27.5
64,36005011800,5.3,96.7,9.4,7.6
65,36005011900,13.2,86.4,31.3,29.6
66,36005012101,7.2,87.4,23.6,18.7
67,36005012102,20.5,84.0,45.0,26.1
68,36005012300,3.4,93.6,21.9,23.4
69,36005012500,11.6,90.6,28.5,26.0
70,36005012701,2.4,97.8,28.5,23.2
71,36005012901,16.3,93.5,31.7,24.9
72,36005013000,4.6,99.1,3.1,8.5
73,36005013100,14.0,93.5,30.5,21.4
74,36005013200,3.4,97.4,6.7,10.3
75,36005013300,12.5,88.6,32.4,21.1
76,36005013500,13.6,90.9,29.7,19.7
77,36005013800,9.8,93.9,9.3,6.8
78,36005014100,4.8,92.7,32.8,26.6
79,36005014300,8.9,94.0,42.6,26.3
80,36005014400,14.1,95.0,39.8,15.6
81,36005014500,16.5,94.5,31.4,33.7
82,36005014701,26.9,92.1,51.3,11.7
83,36005014702,7.7,94.4,37.2,22.2
